职位,公司,工作天数,薪资
数据标注实习生,博彦科技 - 互联网,≥5天,130-150/天
审核实习生,博彦科技 - 互联网,≥5天,130-150/天
开发测试工程师,百度 - 互联网,≥4天,面议
产业规划实习生,中国信息通信研究院 - 通信/电子,≥3天,面议
研究员助理,中国信息通信研究院 - 通信/电子,≥2天,120-180/天
量化研究员,爱奇艺 - 互联网,≥4天,面议
市场实习生,大唐实创（北京）投资...,≥4天,面议
平面设计实习生,大唐实创（北京）投资...,≥4天,面议
美资150强-市场部...,万宝盛华 - 专业服务/咨询,≥3天,120-150/天
产品运营实习生,ApplySquar... - 互联网,≥4天,100-120/天
社区运营实习生,ApplySquar... - 互联网,≥3天,100-120/天
教育类新媒体编辑,ApplySquar... - 互联网,≥3天,80-120/天
数据建模实习生,ApplySquar... - 互联网,≥3天,100-120/天
市场管培生,ApplySquar... - 互联网,≥3天,100-120/天
数据建模实习生,ApplySquar... - 互联网,≥3天,100-150/天
数据库运营实习生,ApplySquar... - 互联网,≥4天,100-150/天
内容编辑,材贤科技 - 互联网,≥5天,80-150/天
市场推广,材贤科技 - 互联网,≥5天,100-200/天
招聘专员,猎聘网 - 互联网,≥5天,100-100/天
猎头顾问,猎聘网 - 互联网,≥5天,100-150/天
猎头顾问培训生,聚猎 - 专业服务/咨询,≥4天,150-200/天
猎头顾问培训生,聚猎 - 专业服务/咨询,≥5天,100-150/天
运营实习生,聚猎 - 专业服务/咨询,≥3天,100-150/天
人力资源数据处理实习...,优信集团 - 互联网,≥3天,100-150/天
编辑实习生,互动百科 - 互联网,≥4天,110-150/天
商业运营实习生,互动百科 - 互联网,≥4天,100-150/天
词条编辑实习生,互动百科 - 互联网,≥4天,120-150/天
HR实习生,中健药业 - 生物/医药,≥5天,100-150/天
新媒体运营实习生,玩具超人 - 互联网,≥5天,100-200/天
商务BD实习生,玩具超人 - 互联网,≥3天,120-150/天
用户运营实习生,玩具超人 - 互联网,≥5天,120-150/天
法务实习生,氪空间 - 房地产,≥3天,100-150/天
猎头顾问/助理猎头顾...,HRnetOne - 专业服务/咨询,≥3天,100-120/天
实习生,腾讯地图,≥3天,面议
电力设备新能源团队实...,方正证券 - 基金/证券,≥4天,面议
法律实习生,君合律师事务所,≥4天,面议
导演助理实习生,网易公司 - 互联网,≥4天,面议
品牌联营实习生,乐视影业 - 影视传媒,≥4天,面议
内容营销实习生,乐视影业 - 影视传媒,≥4天,面议
固定收益组实习生,东北证券 - 基金/证券,≥3天,面议
基础技术测试部实习开...,百度 - 互联网,≥4天,面议
新媒体实习生,腾讯新闻,≥4天,面议
医药行研实习生,长城证券,≥3天,面议
图像视觉算法实习生,快手,≥4天,面议
西江御府一手楼盘驻场,广州中原 - 房地产,≥6天,150-250/天
图书编辑岗位,圣才电子书 - 教育/培训,≥1天,120-200/天
金融、统计,圣才电子书 - 教育/培训,≥2天,120-150/天
财会类实习生,圣才电子书 - 教育/培训,≥1天,120-150/天
传播学实习,圣才电子书 - 教育/培训,≥1天,120-150/天
法务类实习,圣才电子书 - 教育/培训,≥1天,120-150/天
社会工作图书编辑,圣才电子书 - 教育/培训,≥1天,120-150/天
教辅编辑,圣才电子书 - 教育/培训,≥1天,110-150/天
高级咨询师,弘创博学教育 - 教育/培训,≥5天,150-300/天
HR实习生,百度 - 互联网,≥5天,面议
品牌顾问实习生,昌荣传媒股份有限公司,≥4天,面议
新媒体运营实习生,优辰互联 - 互联网,≥3天,120-150/天
社群运营实习生,优辰互联 - 互联网,≥3天,120-150/天
文案编辑实习生,优辰互联 - 互联网,≥3天,120-150/天
公众号运营实习生,优辰互联 - 互联网,≥3天,120-150/天
猎头顾问助理实习生,华翰咨询 - 公众服务,≥4天,120-150/天
猎头顾问助理实习生,华翰咨询 - 公众服务,≥4天,120-150/天
高新房产经纪人,北京链家地产 - 房地产,≥5天,250-300/天
租赁经纪人,北京链家地产 - 房地产,≥5天,200-300/天
网易游戏高校记者,网易游戏 - 互联网,≥2天,80-120/天
人事/行政实习生,罗迈国际 - 公众服务,≥3天,100-150/天
猎头助理实习生,罗迈国际 - 公众服务,≥4天,100-150/天
销售储备经理/无责底...,北京链家 - 房地产,≥6天,190-380/天
销售代表/无责底薪5...,北京链家 - 房地产,≥6天,200-400/天
销售管培生/住房补贴...,北京链家 - 房地产,≥5天,180-360/天
人事/HR inte...,美标 - 日用/消费,≥3天,100-120/天
【计算机类编辑兼职、...,圣才教育 - 教育/培训,≥1天,100-170/天
各专业兼职编辑,圣才 - 教育/培训,≥1天,110-160/天
市场维护专员,材贤科技 - 互联网,≥5天,100-200/天
电竞赛事数据运营实习...,玩加赛事 - 互联网,≥5天,80-100/天
电竞内容策划实习生（...,玩加赛事 - 互联网,≥5天,80-120/天
王者荣耀内容编辑实习...,玩加赛事 - 互联网,≥5天,80-120/天
电竞（游戏）产品运营...,玩加赛事 - 互联网,≥5天,80-120/天
市场实习生,北京链家 - 房地产,≥5天,150-200/天
销售实习生,北京链家 - 房地产,≥5天,150-200/天
营销管培生,北京链家 - 房地产,≥5天,150-200/天
储备干部,北京链家 - 房地产,≥5天,150-200/天
总部直招――管培生,北京链家 - 房地产,≥5天,150-200/天
北京链家房产销售实习...,北京链家 - 房地产,≥5天,100-200/天
猎头实习生,猎聘网 - 互联网,≥4天,100-120/天
数据录入实习生,ApplySquar... - 互联网,≥3天,100-120/天
法务实习生（投融资方...,氪空间 - 房地产,≥3天,100-150/天
前台,建投享老 - 文化/娱乐,≥4天,100-150/天
采购实习生,蓝海华业 - 互联网,≥4天,120-150/天
总裁办实习生,蓝海华业 - 互联网,≥4天,100-150/天
项目工程师实习生,蓝海华业 - 互联网,≥4天,100-150/天
Retail Int...,美国固特异轮胎公司 - 材料/化工,≥3天,100-130/天
咨询,和学教育 - 教育/培训,≥5天,230-400/天
法务,博彦科技 - 互联网,≥4天,100-120/天
软件测试实习生,ApplySquar... - 互联网,≥3天,100-120/天
信息处理专员,嘉朋汉坊教育 - 教育/培训,≥3天,100-120/天
无责任底薪高级课程顾...,和学教育 - 教育/培训,≥5天,250-300/天
物理实习生,作业帮 - 互联网,≥4天,120-150/天
语文实习生,作业帮 - 互联网,≥5天,120-150/天
听审实习生,作业帮 - 互联网,≥5天,120-150/天
英语实习生,作业帮 - 互联网,≥5天,120-150/天
初中数学实习生,作业帮 - 互联网,≥5天,120-150/天
高中数学实习生,作业帮 - 互联网,≥3天,120-150/天
小数实习生,作业帮 - 互联网,≥3天,120-150/天
语文实习生,作业帮 - 互联网,≥3天,120-150/天
化学实习生,作业帮 - 互联网,≥3天,120-150/天
实习生（猎头方向）-...,杜拉拉人力 - 其他行业,≥4天,120-140/天
平面设计实习生,玩具超人 - 互联网,≥5天,80-150/天
中文汉语言类兼职编辑,圣才教育 - 教育/培训,≥2天,120-180/天
商务,睿驰科技 - 互联网,≥5天,130-160/天
英语翻译实习生,睿驰科技 - 互联网,≥5天,120-160/天
市场经理助理,睿驰科技 - 互联网,≥5天,120-200/天
会计,翻译先锋 - 专业服务/咨询,≥2天,200-400/天
财务,翻译先锋 - 专业服务/咨询,≥2天,200-400/天
电竞商务渠道助理实习...,玩加赛事 - 互联网,≥4天,100-150/天
HRBP实习生,氪空间 - 房地产,≥4天,100-150/天
销售储备干部/无责底...,北京链家 - 房地产,≥5天,190-380/天
链家总部销售储备干部,北京链家 - 房地产,≥5天,200-380/天
房产销售专员/横纵向...,北京链家 - 房地产,≥5天,199-388/天
销售代表/销售实习生,北京链家 - 房地产,≥5天,199-388/天
市场营销实习生,北京链家 - 房地产,≥5天,180-360/天
【链家总部】销售实习...,北京链家 - 房地产,≥5天,180-360/天
Lianjia.销售...,北京链家 - 房地产,≥6天,200-400/天
制片助理实习生,爱奇艺 - 互联网,≥4天,150-180/天
电影票项目助理,爱奇艺 - 互联网,≥4天,150-180/天
PHP开发实习生,爱奇艺 - 互联网,≥4天,180-220/天
人事招聘实习生,猎聘网 - 互联网,≥5天,100-120/天
助理实习生,西门子中国 - 机械/制造,≥3天,96-120/天
量化策略研究实习生,稳毅资产,≥4天,面议
投融资实习生,中民医疗投资股份有限...,≥3天,面议
人力资源岗实习生,中国出口信用保险公司,≥3天,面议
人力资源实习生（招聘...,京东方 - 通信/电子,≥3天,120-200/天
证券投资部研究员助理,新时代证券 - 专业服务/咨询,≥4天,面议
科技行业研究实习生,华菁证券,≥4天,200-200/天
猎头顾问,猎聘网 - 互联网,≥4天,100-120/天
项目执行实习生,北京大街网 - 互联网,≥3天,100-120/天
销售支持,北京大街网 - 互联网,≥3天,100-120/天
科技行业分析师,中信里昂证券 - 基金/证券,≥4天,面议
财务部实习生,中银国际证券 - 银行,≥3天,面议
债务资本市场部实习生,中银国际证券 - 银行,≥4天,面议
股权融资一部投行项目...,中银国际证券 - 银行,≥3天,面议
医疗产业投资实习生,九鼎投资,≥4天,面议
开放平台产品实习生,小米 - 互联网,≥4天,面议
财务实习生,科大讯飞 - 通信/电子,≥4天,面议
运营管理实习生,科大讯飞 - 通信/电子,≥4天,面议
行政实习生,科大讯飞 - 通信/电子,≥4天,面议
HR实习生（培训方向...,科大讯飞 - 通信/电子,≥4天,面议
销售代表（不用外出跑...,睿南星 - 投资/期货,≥5天,200-300/天
阿语产品实习生,泛阿网络 - 互联网,≥3天,120-150/天
人力资源实习生,爱奇艺 - 互联网,≥4天,120-150/天
HR实习生（招聘方向...,科大讯飞 - 通信/电子,≥4天,面议
人力资源实习生,猎聘网 - 互联网,≥5天,120-120/天
猎头实习生,猎聘网 - 互联网,≥5天,110-120/天
风控Project ...,中金公司 - 基金/证券,≥3天,面议
互联网资源收录实习生,百度 - 互联网,≥4天,面议
诚聘【财会类专业】兼...,圣才教育 - 教育/培训,≥1天,100-170/天
诚聘【文科管理类】兼...,圣才教育 - 教育/培训,≥1天,100-170/天
诚聘【语言史哲类】兼...,圣才教育 - 教育/培训,≥1天,100-170/天
远程视频字幕翻译,亿幕 - 互联网,≥1天,50-100/天
行政运营实习生,沐羽科技 - 机械/制造,≥5天,120-150/天
人事/HR实习生,沐羽科技 - 机械/制造,≥5天,120-150/天
视频剪辑实习生,沐羽科技 - 机械/制造,≥5天,100-150/天
文案策划实习生,沐羽科技 - 机械/制造,≥5天,100-150/天
行政人事实习生,沐羽科技 - 机械/制造,≥5天,100-150/天
新媒体运营实习生,沐羽科技 - 机械/制造,≥4天,150-200/天
短期调研实习生,沐羽科技 - 机械/制造,≥3天,100-120/天
短期市场调研实习生,沐羽科技 - 机械/制造,≥3天,100-120/天
短期调研实习生,沐羽科技 - 机械/制造,≥3天,100-120/天
短期市场调研实习生,沐羽科技 - 机械/制造,≥3天,100-120/天
新媒体运营实习生,沐羽科技 - 机械/制造,≥4天,150-200/天
文案创意实习生,沐羽科技 - 机械/制造,≥5天,100-150/天
视频剪辑实习生,沐羽科技 - 机械/制造,≥5天,100-150/天
人事/HR实习生,沐羽科技 - 机械/制造,≥5天,120-150/天
文案策划实习生,沐羽科技 - 机械/制造,≥5天,130-160/天
市场部实习生,沐羽科技 - 机械/制造,≥5天,120-150/天
行政运营实习生,沐羽科技 - 机械/制造,≥5天,120-150/天
财务部实习生,MALOCLINIC... - 医疗/卫生,≥3天,100-120/天
活动执行（实习）,建投享老 - 文化/娱乐,≥3天,100-150/天
linux内核测试实...,红帽软件 - 互联网,≥3天,200-200/天
linux测试实习生...,红帽软件 - 互联网,≥4天,200-200/天
产品经理实习生,人人金服 - 互联网,≥4天,150-250/天
基金产品运营实习生,人人金服 - 互联网,≥4天,100-150/天
算法研究员实习生,人人金服 - 互联网,≥4天,200-300/天
诚聘各类兼职编辑,圣才教育 - 教育/培训,≥1天,100-140/天
招聘助理,五八集团 - 互联网,≥3天,100-120/天
急聘各专业实习编辑,圣才电子书 - 教育/培训,≥1天,100-150/天
急聘语言类实习编辑,圣才电子书 - 教育/培训,≥1天,100-150/天
急聘工程建筑类实习编...,圣才电子书 - 教育/培训,≥1天,100-150/天
产品运营（内容）实习...,ApplySquar... - 互联网,≥4天,100-150/天
急聘财会类兼职编辑,圣才电子书 - 教育/培训,≥1天,100-150/天
招聘金融经管类实习编...,圣才电子书 - 教育/培训,≥1天,100-150/天
项目助理实习生,中国质量协会 - 政府/公共事业,≥4天,80-100/天
党务实习生,中国质量协会 - 政府/公共事业,≥4天,80-100/天
人力资源实习生,中国质量协会 - 政府/公共事业,≥4天,80-100/天
【工程建筑类专业】兼...,圣才教育 - 教育/培训,≥1天,100-170/天
语音识别实习生,滴滴出行 - 互联网,≥4天,面议
法律专业实习生,北京市安伦律师事务所,≥3天,120-120/天
用户体验实习生,滴滴出行 - 互联网,≥4天,200-200/天
计算机组实习生,申万宏源证券 - 基金/证券,≥4天,面议
销售/市场助理,富士胶片 - 医疗/卫生,≥3天,120-160/天
人力实习生,吉因加 - 医疗/卫生,≥3天,120-180/天
内容运营,悠悠行旅 - 互联网,≥3天,120-150/天
用户运营,悠悠行旅 - 互联网,≥1天,120-150/天
产品运营,悠悠行旅 - 互联网,≥1天,120-150/天
金融经管类编辑兼职,圣才教育 - 教育/培训,≥1天,100-170/天
项目执行（实习）,朗知传媒 - 公关/会展,≥3天,100-100/天
文案策划（实习）,朗知传媒 - 公关/会展,≥3天,100-100/天
媒介专员,我搜网络 - 互联网,≥5天,180-230/天
商务销售,我搜网络 - 互联网,≥5天,180-230/天
BD专员,我搜网络 - 互联网,≥5天,180-230/天
@首都一橘微博运营实...,橘子娱乐 - 互联网,≥4天,100-120/天
技术工程师,北电科林 - 通信/电子,≥3天,100-120/天
人力资源实习生/招聘...,全职招聘 - 专业服务/咨询,≥3天,90-120/天
数据标注,博彦科技 - 互联网,≥5天,120-150/天
助理实习生,全职招聘 - 专业服务/咨询,≥4天,100-150/天
招聘实习生,全职招聘 - 专业服务/咨询,≥4天,100-150/天
产品运营实习生,ApplySquar... - 互联网,≥3天,100-120/天
法务部实习生,博彦科技 - 互联网,≥4天,100-120/天
法务实习生,博彦科技 - 互联网,≥4天,100-120/天
PR文案实习生,蓝色光标 - 广告,≥3天,100-110/天
外呼专员,八零创成教育科技（北... - 教育/培训,≥5天,120-150/天
数据专员,八零创成教育科技（北... - 教育/培训,≥4天,120-150/天
大客户销售代表,纷享科技 - 互联网,≥5天,120-200/天
财务类实习生,软通动力 - 通信/电子,≥3天,100-120/天
自媒体公众号,原生动力 - 广告,≥4天,100-120/天
内容编辑实习生,清单 - 互联网,≥3天,90-100/天
编辑实习生,清单 - 互联网,≥3天,90-100/天
新媒体编辑实习生,清单 - 互联网,≥3天,90-100/天
猎头顾问助理,科锐国际 - 专业服务/咨询,≥3天,100-120/天
理工科电子书编辑招聘,圣才电子书 - 教育/培训,≥2天,130-150/天
工程类编辑实习生,圣才电子书 - 教育/培训,≥2天,130-150/天
临床医学电子书编辑,圣才电子书 - 教育/培训,≥2天,130-150/天
金融经管财会类电子书...,圣才电子书 - 教育/培训,≥2天,130-150/天
档案管理,首金网 - 投资/期货,≥4天,120-150/天
Java后台研发工程...,首金网 - 投资/期货,≥5天,180-200/天
测试工程师,首金网 - 投资/期货,≥5天,180-200/天
产品经理,首金网 - 投资/期货,≥5天,180-200/天
UI设计师,首金网 - 投资/期货,≥5天,180-200/天
法务专员,首金网 - 投资/期货,≥5天,150-180/天
人力资源实习生,首金网 - 投资/期货,≥5天,150-180/天
招聘顾问实习生,猎聘网 - 互联网,≥4天,100-130/天
FA实习生,小饭桌 - 互联网,≥4天,150-200/天
投资人（IR）实习生,小饭桌 - 互联网,≥4天,150-150/天
市场实习生,小饭桌 - 互联网,≥4天,100-100/天
财务实习生,小饭桌 - 互联网,≥4天,100-120/天
急招经济类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招工程类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招管理类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招新闻类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招法学类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招教育、心理、中文...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招金融、证券类兼职...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招财会类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招统计类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招医学类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
策略策划实习生,一点资讯 - 互联网,≥5天,150-200/天
设计实习生,一点资讯 - 互联网,≥5天,150-180/天
招商策划实习生,一点资讯 - 互联网,≥4天,150-180/天
数据实习生,正和岛 - 互联网,≥3天,130-150/天
行业研究部门实习生,优信集团 - 互联网,≥3天,100-150/天
人力资源招聘助理实习...,优信集团 - 互联网,≥3天,100-150/天
财务实习生,优信集团 - 互联网,≥3天,100-120/天
法务,源码资本 - 投资/期货,≥4天,100-150/天
新媒体,源码资本 - 投资/期货,≥3天,100-150/天
投后人力实习生（招聘...,源码资本 - 投资/期货,≥3天,100-150/天
财务实习生,源码资本 - 投资/期货,≥3天,100-150/天
财务,软通动力 - 通信/电子,≥5天,100-100/天
房产家居方向内容运营...,字节跳动,≥3天,150-150/天
投行部债券业务实习生,财富证券,≥3天,面议
电影编辑实习生,橘子娱乐 - 互联网,≥4天,100-120/天
摄像实习生,橘子娱乐 - 互联网,≥4天,100-120/天
人力资源实习生（招聘...,易观亚太 - 互联网,≥3天,100-101/天
计算机视觉方向实习生,北京大学计算机所,≥3天,面议
宏观组实习生,广发证券 - 投资/期货,≥3天,面议
商务合作部运营实习生,百度 - 互联网,≥4天,面议
债券融资总部销售交易...,海通证券,≥3天,面议
人力资源实习生,百济神州生物科技,≥3天,150-150/天
短视频|直播实习生,腾讯新闻,≥4天,面议
投资岗实习生,国开科创,≥4天,面议
实习生,工信部工业文化发展中...,≥3天,面议
行政实习生,北京粉丝时代 - 文化/娱乐,≥3天,100-110/天
实习编辑,盛拓传媒 - 互联网,≥4天,80-160/天
数码运营编辑实习,盛拓传媒 - 互联网,≥4天,80-160/天
内容编辑运营实习,盛拓传媒 - 互联网,≥4天,80-160/天
实习编导,盛拓传媒 - 互联网,≥5天,80-160/天
实习漫画师,盛拓传媒 - 互联网,≥5天,80-160/天
视频项目助理,盛拓传媒 - 互联网,≥5天,80-160/天
硬件编辑实习生,盛拓传媒 - 互联网,≥4天,80-160/天
新媒体运营实习生,盛拓传媒 - 互联网,≥4天,80-160/天
实习汽车编辑,盛拓传媒 - 互联网,≥4天,80-160/天
编辑,盛拓传媒 - 互联网,≥4天,80-160/天
课程顾问,弘创博学教育 - 教育/培训,≥5天,150-300/天
咨询顾问,弘创博学教育 - 教育/培训,≥5天,150-300/天
电话销售顾问+教育机...,弘创博学教育 - 教育/培训,≥5天,150-300/天
招生顾问,弘创博学教育 - 教育/培训,≥5天,150-300/天
销售顾问,弘创博学教育 - 教育/培训,≥5天,150-200/天
社群运营,大V店 - 互联网,≥5天,100-100/天
采销综合岗,大V店 - 互联网,≥5天,150-150/天
综合管理实习生,大V店 - 互联网,≥5天,150-180/天
用户运营实习生,大V店 - 互联网,≥5天,150-180/天
猎头寻访员,瀚卓 - 互联网,≥5天,100-200/天
猎头顾问助理（管培生...,瀚卓 - 互联网,≥5天,100-150/天
品牌部短视频策划（实...,氪空间 - 房地产,≥3天,100-150/天
内容运营实习生,氪空间 - 房地产,≥3天,100-150/天
产品运营实习生,氪空间 - 房地产,≥5天,100-150/天
业务支持助理实习生（...,氪空间 - 房地产,≥3天,100-150/天
HR实习生-培训组,氪空间 - 房地产,≥4天,100-150/天
IT运维实习生,36氪 - 互联网,≥3天,120-150/天
HRP系统部实习生,宝石花医疗 - 生物/医药,≥3天,150-200/天
Marcom Int...,万宝盛华 - 专业服务/咨询,≥3天,120-150/天
汇丰中国学生计划,外企德科 - 专业服务/咨询,≥3天,120-200/天
新媒体实习生,ApplySquar... - 互联网,≥3天,80-120/天
Tech Line ...,外联出国 - 专业服务/咨询,≥3天,120-120/天
AE实习生-北京奥美,奥美集团 - 广告,≥4天,49-50/天
人事助理,UMG联播传媒 - 影视传媒,≥5天,150-200/天
公关实习生-北京奥美,奥美集团 - 广告,≥4天,49-50/天
美术实习生-北京奥美,奥美集团 - 广告,≥5天,49-50/天
文案实习生,奥美集团 - 广告,≥4天,49-50/天
置业顾问,北京链家地产 - 房地产,≥5天,200-300/天
人力资源实习生,橘子娱乐 - 互联网,≥3天,100-120/天
艺人统筹实习生,橘子娱乐 - 互联网,≥4天,100-120/天
美妆运营实习生,橘子娱乐 - 互联网,≥4天,100-120/天
内容运营,橘子娱乐 - 互联网,≥5天,100-120/天
编导实习生,橘子娱乐 - 互联网,≥4天,100-120/天
运营实习生,橘子娱乐 - 互联网,≥4天,100-120/天
人力资源实习生,正和岛 - 互联网,≥4天,130-150/天
新媒体运营实习生,玩具超人 - 互联网,≥4天,100-200/天
国际业务实习生,正和岛 - 互联网,≥3天,130-150/天
项目运营实习生,正和岛 - 互联网,≥3天,120-140/天
客服实习生,正和岛 - 互联网,≥3天,130-150/天
市场部实习生（慕华教...,学堂在线 - 互联网,≥3天,120-150/天
市场部实习生,学堂在线 - 互联网,≥4天,120-150/天
策略运营实习生,八零创成教育科技（北... - 教育/培训,≥5天,130-160/天
新媒体运营实习生,八零创成教育科技（北... - 教育/培训,≥4天,100-120/天
产品培训讲师,八零创成教育科技（北... - 教育/培训,≥3天,120-120/天
主播运营实习生,八零创成教育科技（北... - 教育/培训,≥5天,130-160/天
人力资源实习生,八零创成教育科技（北... - 教育/培训,≥4天,140-160/天
教研员实习生,八零创成教育科技（北... - 教育/培训,≥5天,180-250/天
项目管理,八零创成教育科技（北... - 教育/培训,≥4天,120-150/天
网络编辑实习生,八零创成教育科技（北... - 教育/培训,≥3天,120-150/天
技术支持实习生（教学...,学堂在线 - 互联网,≥4天,120-150/天
财务,学堂在线 - 互联网,≥4天,120-150/天
营销推广实习生,威盛电子 - 通信/电子,≥4天,100-120/天
产品策划实习生,威盛电子 - 通信/电子,≥4天,100-120/天
招聘专员实习生,华翰咨询 - 公众服务,≥3天,120-180/天
猎头顾问助理实习生,华翰咨询 - 公众服务,≥3天,120-180/天
猎头顾问助理,华翰咨询 - 公众服务,≥3天,120-180/天
新媒体运营,虫星科技 - 互联网,≥4天,100-150/天
内容运营,虫星科技 - 互联网,≥4天,100-150/天
用户运营,虫星科技 - 互联网,≥4天,100-150/天
内容编辑实习生,IT桔子 - 互联网,≥3天,100-120/天
财务分析助理,和诚创新 - 专业服务/咨询,≥5天,100-120/天
投研分析,和诚创新 - 专业服务/咨询,≥5天,100-120/天
实习分析师,和诚创新 - 专业服务/咨询,≥5天,100-120/天
财务实习生,瑞思学科英语 - 教育/培训,≥4天,150-150/天
置业顾问 / 超高提...,链家 - 房地产,≥6天,300-400/天
链家 / 电话销售 ...,链家 - 房地产,≥6天,300-400/天
链家 / 置业顾问 ...,链家 - 房地产,≥6天,300-400/天
销售储备经理 / 无...,链家 - 房地产,≥6天,300-400/天
无责底薪4k / 房...,链家 - 房地产,≥6天,300-400/天
【链家】销售实习生/...,北京链家 - 房地产,≥5天,150-200/天
轻奢品牌运营实习生,与众不同 - 互联网,≥5天,120-200/天
商务运营实习生,与众不同 - 互联网,≥5天,120-200/天
设计实习,与众不同 - 互联网,≥5天,120-200/天
多语种翻译兼职,广州信实翻译公司 - 专业服务/咨询,≥5天,120-200/天
英语翻译（英翻中16...,广州信实翻译公司 - 专业服务/咨询,≥5天,100-120/天
电子书内容运营,圣才电子书 - 教育/培训,≥4天,100-120/天
人事助理,圣才电子书 - 教育/培训,≥6天,100-150/天
金融英语实习生,翻译先锋 - 专业服务/咨询,≥2天,100-200/天
【工程类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【管理类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【经济类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【医学类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【新闻类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【法学类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【教育类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【英语类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【心理类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【金融、证券类】兼职...,圣才 - 教育/培训,≥1天,500-1000/天
【中文类（含文学类）...,圣才 - 教育/培训,≥1天,500-1000/天
【财会类（含经济师）...,圣才 - 教育/培训,≥1天,500-1000/天
【统计学】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【自学考试】六科目兼...,圣才 - 教育/培训,≥1天,500-1000/天
金融，证券类兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
英语类兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
经济学类兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
圣才教育――诚聘财会...,圣才 - 教育/培训,≥1天,500-1000/天
电子书编辑,圣才电子书 - 教育/培训,≥3天,100-120/天
运营实习生,宝石花医疗 - 生物/医药,≥3天,150-150/天
采购部实习生,宝石花医疗 - 生物/医药,≥3天,150-150/天
视频运营实习生（视频...,爱回收 - 互联网,≥4天,150-180/天
人事/HR,百度 - 互联网,≥4天,面议
搜索排序自然语言处理...,搜狗 - 互联网,≥4天,面议
