职位,公司,工作天数,薪资
人力资源实习生,中诚信国际信用评级有...,≥3天,100-150/天
财务助理实习生,浦发硅谷银行,≥4天,150-150/天
房产运营销售管培生,北京链家 - 房地产,≥6天,200-398/天
链家总部销售实习生/...,北京链家 - 房地产,≥6天,199-388/天
房产销售/销售代表/...,北京链家 - 房地产,≥6天,199-388/天
房产经纪人/房产销售...,北京链家 - 房地产,≥4天,200-400/天
销售实习生/完善的职...,北京链家 - 房地产,≥6天,188-366/天
新媒体,水母科技 - 生物/医药,≥5天,100-200/天
财务实习生,阿博茨科技 - 互联网,≥4天,150-200/天
课程老师,北京萤火虫 - 教育/培训,≥5天,300-500/天
网络营销,北京萤火虫 - 教育/培训,≥5天,300-500/天
课程顾问,北京萤火虫 - 教育/培训,≥5天,300-500/天
课程咨询师,北京萤火虫 - 教育/培训,≥5天,200-400/天
金融分析师实习生,阿博茨科技 - 互联网,≥3天,50-60/天
财经编辑实习生,阿博茨科技 - 互联网,≥4天,150-200/天
产品实习生（中投项目...,阿博茨科技 - 互联网,≥4天,150-200/天
运营实习生（中投项目...,阿博茨科技 - 互联网,≥4天,150-200/天
商业分析,腾讯 - 互联网,≥3天,150-150/天
市场实习生,tataUFO - 互联网,≥4天,130-140/天
运营实习生,tataUFO - 互联网,≥5天,100-120/天
英文翻译实习生,tataUFO - 互联网,≥4天,140-150/天
市场实习生（区块链方...,tataUFO - 互联网,≥4天,130-140/天
销售/代表/应届生/...,北京链家 - 房地产,≥6天,188-366/天
HR实习生,好未来 - 教育/培训,≥3天,120-120/天
人力资源实习生,泰禾集团 - 房地产,≥3天,面议
机构销售部实习生,华泰联合证券,≥4天,面议
前端实习生,美团点评 - 互联网,≥4天,面议
运营实习生,腾讯 - 互联网,≥5天,149-150/天
实习家教（语文）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（历史）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（生物）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（英语）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（地理）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（政治）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习家教（化学）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
实习老师（数学）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
媒体公关实习生,JingJobs - 互联网,≥5天,150-150/天
人力资源实习生,北京市海淀区国有资产...,≥5天,100-120/天
新媒体编辑实习生,东方风行文化传媒 - 影视传媒,≥4天,60-70/天
销售代表/应届生/实...,北京链家 - 房地产,≥6天,199-388/天
销售代表/销售管培生,北京链家 - 房地产,≥6天,200-400/天
销售代表/客户运营,北京链家 - 房地产,≥5天,180-360/天
销售运营专员/无责底...,北京链家 - 房地产,≥6天,200-380/天
销售精英/无责底薪5...,北京链家 - 房地产,≥6天,200-400/天
销售管培生5000/...,北京链家 - 房地产,≥6天,180-360/天
销售代表/无责底薪5...,北京链家 - 房地产,≥6天,200-400/天
美资500强-技术培...,万宝盛华 - 专业服务/咨询,≥3天,120-150/天
客户经理,渠道网络 - 互联网,≥5天,100-100/天
大客户代表,渠道网络 - 互联网,≥5天,100-150/天
广告销售专员,渠道网络 - 互联网,≥5天,100-100/天
人力资源部实习生,中国城市建设研究院有... - 建筑/土木,≥3天,80-100/天
建筑,中国城市建设研究院有... - 建筑/土木,≥3天,50-100/天
党群部/纪检监察部实...,中国城市建设研究院有... - 建筑/土木,≥3天,50-100/天
招聘,中科曙光 - 通信/电子,≥4天,125-150/天
社交媒体英文实习编辑,人民网 - 公众服务,≥4天,30-60/天
兼职讲师【教育、中文...,圣才电子书 - 教育/培训,≥1天,400-800/天
兼职讲师【新闻类】,圣才电子书 - 教育/培训,≥2天,400-800/天
兼职讲师【管理类】,圣才电子书 - 教育/培训,≥1天,400-800/天
法务部实习生,高和资本 - 投资/期货,≥3天,129-131/天
财务部实习,高和资本 - 投资/期货,≥3天,129-131/天
金融市场部实习生,高和资本 - 投资/期货,≥3天,129-131/天
投资部实习生,高和资本 - 投资/期货,≥3天,130-160/天
商务行政助理,中科曙光 - 通信/电子,≥4天,125-150/天
市场运营实习生,Weego - 互联网,≥4天,130-150/天
产品运营实习生,Weego - 互联网,≥4天,130-150/天
内容运营实习生,Weego - 互联网,≥4天,130-150/天
商务拓展实习生,Weego - 互联网,≥4天,130-150/天
实习大客户项目产品运...,百度 - 互联网,≥4天,120-150/天
销售运营,梅赛德斯-奔驰汽车金... - 汽车,≥5天,面议
自然语言处理实习生,玖富集团 - 互联网,≥4天,面议
环保公用事业组实习生,华创证券 - 投资/期货,≥4天,100-100/天
AI前端开发实习生,滴滴出行 - 互联网,≥4天,面议
微信运营助理,辣妈资讯 - 互联网,≥4天,150-150/天
人力实习生,脉脉 - 互联网,≥4天,130-150/天
市场推广实习生（视频...,脉脉 - 互联网,≥5天,120-150/天
市场实习生,脉脉 - 互联网,≥4天,150-200/天
培训实习生,北京图透教育科技有限... - 互联网,≥3天,100-100/天
产品实习生,北京图透教育科技有限... - 互联网,≥3天,100-150/天
内容运营实习,汽车之家 - 互联网,≥3天,100-120/天
购物者营销部实习生,中国四达 - 专业服务/咨询,≥3天,150-150/天
数据分析,滴滴出行 - 互联网,≥4天,面议
投资研究助理实习生,天风证券 - 基金/证券,≥4天,面议
资产配置研究实习生,中金公司 - 基金/证券,≥3天,面议
招聘,猎聘网 - 互联网,≥5天,100-120/天
投资部实习生,峰瑞资本,≥3天,面议
财务实习生,国新国际投资有限公司,≥3天,面议
投行TMT行业部实习...,华泰联合证券,≥4天,面议
礼橙专车市场实习生,滴滴出行 - 互联网,≥4天,150-200/天
数据统计分析及优化算...,盛和资讯,≥4天,面议
建筑组实习生,东兴证券,≥3天,面议
研究部实习生,南华基金,≥3天,面议
投资经理助理实习生,盈创投资,≥2天,150-150/天
游戏策划,乐天派 - 互联网,≥4天,150-200/天
市场营销实习生,天极传媒 - 互联网,≥4天,100-150/天
D-美资500强-项...,万宝盛华 - 专业服务/咨询,≥3天,120-150/天
D-美资500强-L...,万宝盛华 - 专业服务/咨询,≥3天,150-200/天
消防安全工程兼职编辑,圣才教育 - 教育/培训,≥1天,100-150/天
HRBP实习生,美团点评 - 互联网,≥5天,120-150/天
新媒体运营实习生,天极传媒 - 互联网,≥4天,100-120/天
美国强生公司－Off...,万宝盛华 - 专业服务/咨询,≥2天,120-150/天
后端研发实习生,今日头条 - 互联网,≥4天,300-400/天
编导,果时传媒 - 影视传媒,≥5天,100-150/天
财务部实习生,嘉实基金,≥4天,面议
媒体运营实习生,野火金融,≥4天,150-150/天
品牌设计实习生,商汤科技 - 公众服务,≥4天,150-200/天
产品运营实习生,今日头条 - 互联网,≥3天,面议
人力资源部实习生,中国信息通信研究院 - 通信/电子,≥3天,面议
战略部实习生,36氪 - 互联网,≥4天,面议
汽车零部件采购工程师,捷成集团,≥5天,面议
后端研发实习生,字节跳动,≥3天,300-400/天
AI相关项目实习生,联想研究院,≥2天,面议
核心系统研发实习生,百度 - 互联网,≥4天,面议
法律专业实习生,腾讯 - 互联网,≥3天,面议
招聘,北京迈波斯咨询服务有... - 专业服务/咨询,≥3天,150-180/天
招聘实习生,易观 - 互联网,≥5天,100-150/天
人力资源实习生,易观 - 互联网,≥5天,100-150/天
零售运营部合同管理,梅赛德斯-奔驰汽车金... - 汽车,≥5天,120-150/天
金融经管类兼职编辑,圣才电子书 - 教育/培训,≥1天,100-200/天
财会类兼职编辑,圣才电子书 - 教育/培训,≥1天,100-200/天
工程建筑类兼职编辑,圣才电子书 - 教育/培训,≥1天,100-200/天
各科兼职编辑,圣才电子书 - 教育/培训,≥1天,100-200/天
兼职编辑（时间灵活，...,圣才电子书 - 教育/培训,≥1天,100-200/天
校园实习留学顾问,天行者留学 - 教育/培训,≥1天,300-500/天
财务实习生,贝塔斯曼 - 投资/期货,≥2天,149-150/天
PR intern,贝塔斯曼 - 投资/期货,≥3天,149-150/天
助理设计师,科达股份 - 广告,≥3天,100-150/天
项目执行,科达股份 - 广告,≥3天,100-150/天
媒介执行,科达股份 - 广告,≥3天,100-150/天
策划,科达股份 - 广告,≥3天,100-150/天
文案,科达股份 - 广告,≥3天,100-150/天
法务实习生,贝塔斯曼 - 投资/期货,≥3天,100-150/天
客户主任,科达股份 - 广告,≥3天,100-150/天
法务实习,猫眼娱乐,≥4天,面议
会计,51社保 - 互联网,≥4天,130-200/天
市场部实习生,东风标致,≥3天,面议
市场部实习生,中国投资咨询有限责任...,≥4天,面议
信托业务部实习生,长安国际信托股份有限...,≥3天,面议
翻译实习生,中国标准化研究院,≥3天,面议
战略部实习生,摩拜 - 互联网,≥4天,面议
税务实习生,摩拜 - 互联网,≥4天,面议
产品助理,美团点评 - 互联网,≥5天,160-200/天
助理实习生,恒润科技 - 通信/电子,≥3天,120-140/天
管理咨询实习生,伟思咨询 - 专业服务/咨询,≥1天,150-300/天
人力实习生,建信融通,≥4天,150-150/天
计算机视觉实习生,腾讯 - 互联网,≥4天,面议
自然语言处理实习生,腾讯 - 互联网,≥4天,面议
用户运营,三节课 - 互联网,≥3天,120-150/天
财务部实习生,双湖资本,≥4天,面议
投资分析管培实习生,中科集团,≥5天,面议
京东商城―居家生活事...,京东 - 互联网,≥4天,面议
人力资源实习生,大唐实创（北京）投资...,≥4天,面议
运营实习生,复思资本,≥3天,120-120/天
研究部实习生,大唐财富,≥3天,面议
用户研究实习生,美团 - 互联网,≥3天,面议
投后管理实习生,中国文化产业投资基金...,≥4天,面议
服务端研发实习生,小米有品,≥4天,面议
计算机视觉算法实习生,腾讯 - 互联网,≥4天,面议
信息流业务产品实习生,爱奇艺 - 互联网,≥3天,面议
法务实习生,北京猫眼文化传媒有限...,≥4天,面议
数据标注质检实习生,数据堂 - 互联网,≥3天,130-150/天
数据采集实习生,数据堂 - 互联网,≥3天,150-150/天
IT运维实习生,数据堂 - 互联网,≥4天,150-200/天
数据分析实习生,新浪微博 - 互联网,≥4天,面议
英语教研实习生,魔力耳朵 - 互联网,≥4天,150-200/天
外教管理实习生,魔力耳朵 - 互联网,≥4天,150-200/天
市场实习生,航天大道 - 通信/电子,≥3天,80-140/天
实习编辑,人民网 - 公众服务,≥3天,40-80/天
WEB 前端研发实习...,腾讯 - 互联网,≥4天,面议
HR实习生,依图科技,≥5天,面议
高分子材料相关方向实...,ABB,≥3天,面议
日中翻译实习生,佳能 - 通信/电子,≥3天,面议
电商事业部iOS实习...,网易公司 - 互联网,≥4天,面议
商务实习生,小熊博望 - 互联网,≥4天,120-180/天
财务实习生,小熊博望 - 互联网,≥4天,120-180/天
人事/HR,小熊博望 - 互联网,≥4天,120-180/天
测试实习生,学堂在线 - 互联网,≥4天,120-150/天
产品实习生,学堂在线 - 互联网,≥4天,120-150/天
人事/HR 实习生（...,万达传媒 - 广告,≥4天,100-150/天
考务实习生,Manpower - 专业服务/咨询,≥3天,150-168/天
债券业务实习生,财富证券,≥4天,面议
影视策划实习生,UMG联播传媒 - 影视传媒,≥5天,100-100/天
艺术类教师，不限专业,乐思科教 - 教育/培训,≥1天,150-200/天
HR实习生,今日头条 - 互联网,≥3天,120-150/天
PR Intern（...,罗德公关 - 专业服务/咨询,≥3天,90-120/天
行政实习生,罗德公关 - 专业服务/咨询,≥3天,90-110/天
HR Intern,罗德公关 - 专业服务/咨询,≥3天,90-110/天
Social Med...,罗德公关 - 专业服务/咨询,≥3天,90-100/天
PR Intern ...,罗德公关 - 专业服务/咨询,≥3天,90-100/天
HR Intern ...,罗德公关 - 专业服务/咨询,≥3天,90-100/天
数据分析,滴滴出行 - 互联网,≥3天,200-260/天
数据分析师岗,京东 - 互联网,≥4天,面议
财务实习生,通用技术集团,≥3天,100-100/天
媒体策划实习生,耳东影业,≥4天,150-150/天
电力电子实习生,ABB,≥3天,面议
技术支持实习生,金山云 - 互联网,≥4天,面议
信息流后端产品实习生,爱奇艺 - 互联网,≥4天,面议
人力资源实习生,德勤华永会计师事务所...,≥5天,面议
计算机组实习生,东兴证券,≥3天,面议
移动平台开发实习生,德勤咨询 - 专业服务/咨询,≥3天,面议
财务实习生,施耐德电气 - 其他行业,≥4天,100-100/天
自然语言处理开发实习...,数据堂 - 互联网,≥4天,面议
人力资源部实习生,方正证券 - 基金/证券,≥3天,面议
腾讯政旅运营编辑实习...,腾讯大燕网 - 互联网,≥5天,100-100/天
市场实习生,易观 - 互联网,≥5天,100-160/天
分析师助理（实习生）,易观 - 互联网,≥5天,100-160/天
数据顾问  实习生,易观 - 互联网,≥5天,100-160/天
CEO助理（管培生）,易观 - 互联网,≥5天,100-160/天
文案策划实习生,易观 - 互联网,≥5天,100-160/天
商务助理实习生,易观 - 互联网,≥5天,100-160/天
新媒体运营实习生,IT桔子 - 互联网,≥4天,100-150/天
运营/市场实习生,柔持英语教育 - 教育/培训,≥4天,130-150/天
总裁秘书,UMG联播传媒 - 影视传媒,≥5天,150-200/天
新媒体,笨猴科技 - 互联网,≥4天,150-200/天
人力资源实习生,猎聘网 - 互联网,≥4天,120-120/天
HR实习生（北京）,猎聘网 - 互联网,≥4天,120-120/天
LCMS Inter...,赛默飞世尔 - 生物/医药,≥3天,120-150/天
项目支持实习生,赛默飞世尔 - 生物/医药,≥3天,120-150/天
助理设计师,科达股份 - 广告,≥3天,100-120/天
项目执行,科达股份 - 广告,≥3天,100-120/天
媒介执行,科达股份 - 广告,≥3天,100-120/天
行政实习生,人民网 - 公众服务,≥4天,40-80/天
人力资源HRBP实习...,58集团 中华英才网 - 互联网,≥3天,100-150/天
招生顾问,北京图透教育科技有限... - 互联网,≥2天,100-150/天
教务老师,和学教育 - 教育/培训,≥5天,150-200/天
大数据体系算法实习生,京东 - 互联网,≥3天,面议
人力资源部实习生,广州华枫投资有限公司,≥4天,面议
测试工程师,IBM - 互联网,≥4天,面议
HR实习生,爱奇艺 - 互联网,≥4天,面议
web前端开发实习生,新浪微博 - 互联网,≥4天,面议
智能手机助手实习算法...,搜狗 - 互联网,≥5天,面议
人力资源实习生,友邦北分 - 保险,≥3天,120-120/天
人力实习生,百度 - 互联网,≥4天,面议
产品实习生,滴滴出行 - 互联网,≥5天,200-260/天
平面设计,北京配天技术有限公司,≥3天,面议
信托业务五部信托经理...,云南国际信托有限公司,≥3天,120-120/天
实习生(投资方向),国美资本,≥3天,面议
影视实习生,稻来纪录片实验室 - 影视传媒,≥4天,50-100/天
培训部实习生,瑞思学科英语 - 教育/培训,≥5天,150-200/天
行政助理,原象广告 - 互联网,≥5天,100-150/天
后台研发实习生,抖音,≥4天,400-400/天
商业分析实习生,美团点评 - 互联网,≥4天,面议
人事/HR,FESCO北京外企 - 专业服务/咨询,≥3天,100-120/天
医药代表实习生,FESCO北京外企 - 专业服务/咨询,≥3天,100-160/天
客服服务,FESCO北京外企 - 专业服务/咨询,≥5天,100-150/天
销售运营助理实习生,FESCO北京外企 - 专业服务/咨询,≥3天,100-120/天
项目助理实习生,FESCO北京外企 - 专业服务/咨询,≥3天,100-100/天
编辑助理,新东方大愚文化 - 教育/培训,≥2天,100-120/天
文案策划实习生,正略集团 - 专业服务/咨询,≥3天,100-150/天
培训文案策划,正略集团 - 专业服务/咨询,≥3天,120-150/天
KA大客户销售部实习...,百度 - 互联网,≥4天,面议
环保公用组行研实习生,东北证券 - 基金/证券,≥3天,面议
金融风险管理部实习生,毕马威 - 财务/会计/审计,≥4天,150-150/天
策略算法工程师,贝壳网,≥4天,面议
成长企业融资部实习生,华泰联合证券,≥4天,面议
数据梳理实习生,天闻数媒科技,≥4天,150-150/天
运营助理实习生,云势数据 - 互联网,≥5天,100-150/天
创客、编程类课程、机...,乐思科教 - 教育/培训,≥5天,150-200/天
商务,哥白尼尼 - 互联网,≥5天,100-160/天
新媒体,哥白尼尼 - 互联网,≥4天,100-170/天
社区运营实习生,微鲤科技 - 互联网,≥5天,200-300/天
新媒体实习生,微鲤科技 - 互联网,≥5天,200-300/天
社群运营实习生,八零创成教育科技（北... - 教育/培训,≥5天,120-150/天
产品实习生,今日头条 - 互联网,≥5天,面议
HR实习生,北京环境有限公司 - 互联网,≥3天,面议
人工智能方向HR实习...,百度 - 互联网,≥4天,面议
人力资源实习生,北京市电线电缆总厂,≥4天,面议
HR实习生,今日头条 - 互联网,≥4天,120-120/天
新媒体运营实习生,笨猴旅行,≥4天,面议
互联网运营实习生,红移科技,≥3天,面议
HRBP实习生,搜狐 - 互联网,≥4天,面议
人力资源实习生,中核能源,≥3天,120-150/天
新媒体运营实习生,川谷金融科技,≥4天,面议
基金方向投资分析师实...,北京工业发展投资管理...,≥4天,面议
人力资源实习生,太平再保险（中国）有...,≥3天,面议
新媒体实习生,体坛周报 - 互联网,≥4天,面议
大企业创新项目-实习...,北京中关村创业大街科...,≥5天,面议
会员事务管理实习生,中国机电产品进出口商...,≥3天,面议
跨境投融资部门律师助...,卓纬律师事务所,≥4天,面议
实习生,北京元合律师事务所,≥3天,面议
人力资源实习生,浪潮电子信息产业股份... - 通信/电子,≥4天,面议
数据分析实习生,百度 - 互联网,≥4天,面议
投资岗实习生,航天投资控股有限公司,≥4天,面议
档案馆实习生,北京外国语大学,≥4天,面议
战略合作部实习生,滴滴出行 - 互联网,≥4天,面议
AI智能外呼机器人项...,北京容联易通信息技术...,≥4天,120-150/天
计算机视觉实习生,爱奇艺 - 互联网,≥4天,面议
市场实习生（新媒体、...,巨杉数据库 - 互联网,≥4天,120-200/天
JAVA实习生（大数...,巨杉数据库 - 互联网,≥4天,150-200/天
摄影微课运营实习生,小年糕 - 互联网,≥5天,150-150/天
课程剪辑实习生,新声大观 - 互联网,≥4天,100-120/天
法律编辑实习生,法律出版社 - 政府/公共事业,≥3天,100-100/天
行政事务部实习生,友邦北分 - 保险,≥5天,100-120/天
媒介助理实习生,博睿体育 - 公关/会展,≥4天,150-150/天
JV投资银行分析师i...,汉能投资,≥4天,面议
交运组实习生,海通证券,≥4天,面议
咨询顾问,中国信息通信研究院 - 通信/电子,≥3天,100-150/天
实习生,HTC Vive,≥4天,面议
大数据开发实习生,爱奇艺 - 互联网,≥4天,面议
课程顾问,易保研北京 - 教育/培训,≥5天,100-150/天
售后客户维护实习生,易保研北京 - 教育/培训,≥2天,100-150/天
金融板块行业研究岗实...,阳光保险集团,≥3天,面议
猎头顾问(实习生),北京凡尔康咨询 Fa... - 专业服务/咨询,≥4天,120-150/天
媒介策划实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
客户执行实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
人力资源实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
会计实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
法务实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
行政实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
平面设计实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
媒体购买执行实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
文案策划实习生,昌荣传播 Charm - 广告,≥4天,95-135/天
招聘,猎聘网 - 专业服务/咨询,≥4天,80-100/天
招聘顾问助理,万宝盛华 - 专业服务/咨询,≥3天,120-120/天
数据标注实习生,360企业安全 - 互联网,≥3天,60-100/天
图书编辑,人民邮电出版社普华公...,≥3天,面议
专户业务二部实习生,新华基金,≥4天,面议
视频实习生,水滴汽车 - 汽车,≥5天,100-150/天
内容运营实习生,水滴汽车 - 汽车,≥5天,100-150/天
Tech PR In...,Influence ... - 公关/会展,≥5天,150-150/天
项目实习生,智联招聘子公司-AT... - 专业服务/咨询,≥3天,165-165/天
项目运营管培生,智联招聘子公司-AT... - 专业服务/咨询,≥3天,165-165/天
投资数据实习生,源码资本 - 投资/期货,≥3天,150-200/天
实习生,智联招聘子公司-AT... - 专业服务/咨询,≥3天,165-165/天
HR助理实习生,正略集团 - 专业服务/咨询,≥3天,120-150/天
助理,智联招聘子公司-AT... - 专业服务/咨询,≥3天,165-165/天
HR intern ...,正略集团 - 专业服务/咨询,≥3天,120-150/天
项目管培生,智联招聘子公司-AT... - 专业服务/咨询,≥3天,165-165/天
人才培养与开发顾问实...,正略集团 - 专业服务/咨询,≥3天,120-150/天
人力实习生,恒润科技 - 通信/电子,≥3天,100-150/天
项目助理实习生,智联招聘子公司-AT... - 专业服务/咨询,≥3天,165-165/天
项目运营管培生,智联招聘子公司-AT... - 专业服务/咨询,≥3天,165-165/天
HR实习生,今日头条 - 互联网,≥5天,120-150/天
音频内容运营,凤凰网 - 互联网,≥5天,90-120/天
人事/HR,瑞幸咖啡 - 互联网,≥3天,120-150/天
英语教研实习生,葡萄智学 - 教育/培训,≥3天,100-200/天
HR实习生,IDC咨询（北京）有...,≥3天,面议
设计实习生,IDC咨询（北京）有...,≥3天,面议
信用策略研究实习生,鹏扬基金,≥4天,100-100/天
量化分析实习生,中国民生信托有限公司,≥3天,面议
系统开发实习生,民生信托,≥3天,面议
算法工程师,快手,≥4天,面议
编校实习生,法律出版社,≥3天,面议
传播部 CC pro...,西门子中国 - 机械/制造,≥3天,面议
法律部BP组实习生,搜狗 - 互联网,≥4天,面议
资讯实习生,粉笔公考,≥3天,180-180/天
嵌入式软件开发实习生,中科院电子所,≥5天,面议
财务实习生,蝶和科技（中国）有限...,≥4天,面议
硬件实习生,北京经纬恒润科技有限...,≥3天,100-150/天
数据可视化实习生,滴滴出行 - 互联网,≥4天,面议
软件测试实习生,北京龙鼎源科技股份有...,≥3天,面议
分布式机器学习工程师,凤凰新闻,≥3天,面议
HR实习生,北京多贝兄弟信息技术...,≥4天,面议
内容运营实习生,滴滴出行 - 互联网,≥4天,面议
商务实习生,布劳克晨 - 互联网,≥4天,200-240/天
情感咨询师,三感video - 影视传媒,≥5天,150-200/天
用户运营,新浪 - 互联网,≥5天,100-100/天
运营实习生（社区内容...,脉脉 - 互联网,≥5天,150-150/天
产品运营实习生（课程...,脉脉 - 互联网,≥3天,130-150/天
用户数据运营实习生,脉脉 - 互联网,≥5天,130-150/天
校招实习生,易宝支付 - 互联网,≥5天,150-200/天
各专业电子书编辑,圣才教育 - 教育/培训,≥3天,120-150/天
管理类电子书编辑,圣才教育 - 教育/培训,≥3天,120-150/天
债承销业务线日常实习...,中信证券 - 基金/证券,≥4天,面议
量化研究实习生,长城基金 - 投资/期货,≥3天,面议
投资经理助理实习生,盈创投资,≥2天,面议
软件测试工程师,富谙智（上海）信息技...,≥3天,300-300/天
推荐算法研发工程师,百度 - 互联网,≥4天,面议
投资研究部实习生,锦成盛资产管理有限公...,≥4天,面议
助理产品研发岗,中债资信评估有限责任...,≥4天,面议
大数据开发实习生,北京明特量化信息技术...,≥4天,面议
前端实习生,北京多点在线科技有限...,≥5天,面议
财务实习生,北京鼎普科技股份有限...,≥4天,面议
内容运营,恒天财富 - 投资/期货,≥4天,120-200/天
用户运营,恒天财富 - 投资/期货,≥3天,120-200/天
互联网分析师,易观 - 互联网,≥5天,100-150/天
财务实习生,正略集团 - 专业服务/咨询,≥4天,120-150/天
市场部新媒体实习生,以太创服 - 投资/期货,≥5天,150-150/天
行政管理实习生,星榜 - 互联网,≥4天,120-140/天
翻译,亿睿科 - 互联网,≥4天,150-220/天
行政助理实习生-亦庄,地产五大行-戴德梁行 - 房地产,≥4天,100-200/天
语言类电子书编辑兼职,圣才教育 - 教育/培训,≥1天,120-200/天
HRBP实习生,上海思芮 - 互联网,≥5天,100-200/天
招聘,上海思芮 - 互联网,≥4天,100-150/天
人力实习生,蛋壳公寓 - 互联网,≥5天,100-200/天
教育频道实习生,人民网 - 公众服务,≥3天,40-80/天
英语教材兼职讲师,圣才电子书 - 教育/培训,≥1天,500-1000/天
HR实习生-可转正,今日头条 - 互联网,≥4天,120-150/天
新闻类兼职讲师,圣才电子书 - 教育/培训,≥1天,500-1000/天
管理类兼职讲师,圣才电子书 - 教育/培训,≥1天,600-1000/天
工程类兼职讲师,圣才电子书 - 教育/培训,≥1天,600-1000/天
经济类兼职讲师,圣才电子书 - 教育/培训,≥1天,600-1000/天
CEO助理,爱光年 - 互联网,≥3天,90-110/天
人事/HR,爱光年 - 互联网,≥3天,90-110/天
研发工程师,滴滴出行 - 互联网,≥4天,面议
工业地产实习生,光大安石,≥5天,面议
WEB开发工程师,IBM - 互联网,≥4天,面议
Java开发实习生,爱奇艺 - 互联网,≥4天,面议
智能手机助手实习算法...,搜狗 - 互联网,≥4天,面议
股权投资业务岗实习生,广发乾和,≥4天,面议
投资业务部实习生,国信弘盛,≥3天,面议
人力资源部实习生,国家大剧院 - 文化/娱乐,≥3天,面议
开发实习生,VMware威睿,≥4天,面议
诚聘兼职讲师（法学类...,圣才电子书 - 教育/培训,≥1天,500-1000/天
诚聘兼职讲师（教育类...,圣才电子书 - 教育/培训,≥1天,600-1000/天
诚聘心理类讲师,圣才电子书 - 教育/培训,≥1天,500-1000/天
诚聘中文类兼职讲师,圣才电子书 - 教育/培训,≥1天,600-1000/天
兼职讲师（金融、证券...,圣才电子书 - 教育/培训,≥1天,500-1000/天
兼职讲师（财会类）,圣才电子书 - 教育/培训,≥1天,500-900/天
诚聘兼职讲师（统计类...,圣才电子书 - 教育/培训,≥1天,600-1000/天
兼职讲师（医学类）,圣才电子书 - 教育/培训,≥1天,600-1000/天
诚聘英语类兼职讲师,圣才电子书 - 教育/培训,≥1天,500-1000/天
招聘兼职讲师,圣才电子书 - 教育/培训,≥1天,500-1000/天
HR助理,航天人才 - 政府/公共事业,≥4天,100-150/天
薪酬实习生,航天人才 - 政府/公共事业,≥3天,90-120/天
人力资源研究院,航天人才 - 政府/公共事业,≥3天,120-150/天
咨询顾问实习,航天人才 - 政府/公共事业,≥3天,100-200/天
人力资源实习生（天翼...,猎聘网 - 互联网,≥3天,120-120/天
