职位,公司,工作天数,薪资
管培生,浙江外服 - 专业服务/咨询,≥3天,85-120/天
计算机类兼职编辑,圣才教育 - 教育/培训,≥1天,120-200/天
招聘,猎聘网 - 互联网,≥3天,100-100/天
工程类电子书兼职编辑,圣才教育 - 教育/培训,≥1天,120-200/天
运营实习生,去哪儿网 - 互联网,≥4天,120-150/天
医学类电子书兼职编辑,圣才教育 - 教育/培训,≥1天,120-200/天
金融类电子书兼职编辑,圣才教育 - 教育/培训,≥1天,120-200/天
新媒体,春雨医生 - 生物/医药,≥3天,150-260/天
量化实现实习生,汇安基金,≥4天,面议
数据开发实习生,汇安基金,≥4天,面议
量化策略实习生,汇安基金,≥4天,面议
计算机科学技术研究所...,北京大学,≥4天,面议
算法实习生,今日头条 - 互联网,≥4天,面议
计算机组新财富团队实...,申万宏源研究所 - 投资/期货,≥4天,面议
前端开发工程师,京东 - 互联网,≥4天,面议
产品运营实习生,网易公司 - 互联网,≥5天,面议
产品实习生,第四范式,≥4天,面议
运营助理,信而泰科技,≥3天,面议
营销助理,信而泰科技,≥3天,面议
实习生,豆瓣 - 互联网,≥4天,面议
实习家教（物理）,学狮辅导 - 教育/培训,≥1天,300-500/天
初中线上家教兼职,学狮辅导 - 教育/培训,≥1天,300-500/天
媒介实习生,星榜 - 互联网,≥4天,120-140/天
HR精英实习生,今日头条 - 互联网,≥3天,面议
法务实习生,创新工场 - 投资/期货,≥4天,面议
人力资源实习生,理光中国,≥4天,面议
爬虫实习生,地平线,≥4天,面议
金融标准化实习生,中国人民银行,≥4天,面议
计算机视觉实习生,三星电子 - 通信/电子,≥4天,面议
深度学习算法实习生,三星电子 - 通信/电子,≥4天,面议
移动App开发实习生,联想(北京)有限公司 - 通信/电子,≥4天,面议
设计师实习生,微软在线 - 互联网,≥3天,面议
自然语言处理实习生,爱奇艺 - 互联网,≥4天,面议
三维重建方向算法实习...,百度 - 互联网,≥4天,面议
人资资源实习生,一点资讯 - 互联网,≥4天,面议
展商服务,慕尼黑展览 - 公关/会展,≥3天,150-150/天
体育部实习生,人民网 - 公众服务,≥4天,40-80/天
英文实习编辑,人民网 - 公众服务,≥4天,40-80/天
实习分镜师,人民网 - 公众服务,≥4天,40-80/天
产品实习生-国际化,币世界 - 互联网,≥6天,150-200/天
产品实习生,币世界 - 互联网,≥6天,150-200/天
测试实习生,布本智能 - 互联网,≥4天,120-180/天
社会网络分析工程师（...,青岛智能产业技术研究... - 互联网,≥4天,100-200/天
网络系统技术工程师（...,青岛智能产业技术研究... - 互联网,≥5天,100-200/天
硬件网络技术工程师（...,青岛智能产业技术研究... - 互联网,≥4天,100-200/天
网络系统技术工程师（...,青岛智能产业技术研究... - 互联网,≥5天,100-200/天
软件开发,微软在线 - 广告,≥3天,150-200/天
体育类实习生,人民网 - 公众服务,≥4天,40-80/天
法务实习生,人民网 - 公众服务,≥4天,40-80/天
夜班实习后期制作,人民网 - 公众服务,≥4天,40-80/天
夜班实习摄像师,人民网 - 公众服务,≥4天,40-60/天
hr实习生,蛋壳公寓 - 互联网,≥3天,100-150/天
摄影,人民网 - 公众服务,≥4天,40-80/天
视频编辑实习生,人民网 - 公众服务,≥3天,40-80/天
日语运营实习生（游戏...,热酷 - 互联网,≥5天,100-200/天
测试实习生,IBM - 互联网,≥4天,面议
开发实习生,IBM - 互联网,≥4天,面议
度秘云端新闻产品实习...,百度 - 互联网,≥4天,面议
市场研究部实习生,万科 - 房地产,≥3天,面议
视频分析算法实习生,爱奇艺 - 互联网,≥4天,面议
营销策划实习生,第四范式,≥4天,面议
HR实习生,快手,≥4天,面议
投研实习生,长江商学院 - 教育/培训,≥4天,面议
运维工程师实习生,亚马逊 - 互联网,≥4天,面议
法务部实习生,博彦科技 - 互联网,≥4天,面议
标准化事务综合岗实习...,中国国际贸易促进委员...,≥4天,面议
管理培训生,天普教育 - 教育/培训,≥5天,100-150/天
文案策划实习生,首创置业-郎园 - 房地产,≥3天,100-150/天
会展/广告/新闻实习...,首创置业-郎园 - 房地产,≥3天,100-150/天
新媒体运营实习生,首创置业-郎园 - 房地产,≥3天,100-150/天
人民体育专项实习生,人民网 - 公众服务,≥4天,40-80/天
开发实习生,数据堂 - 互联网,≥4天,面议
新媒体运营实习生,中航信移动科技有限公...,≥4天,面议
图像识别开发实习生,数据堂 - 互联网,≥4天,面议
数据运营实习生,Momenta - 互联网,≥5天,300-300/天
人力资源实习生,浪潮信息,≥4天,100-150/天
1对1数学老师 (实...,学狮辅导 - 教育/培训,≥1天,300-500/天
1对1初中辅导老师,学狮辅导 - 教育/培训,≥1天,300-500/天
销售支持,链家 - 房地产,≥6天,500-600/天
销售,链家 - 房地产,≥6天,500-600/天
人才管理咨询实习生,中智国际人才 - 专业服务/咨询,≥3天,100-200/天
中小学辅导老师,学狮辅导 - 教育/培训,≥1天,300-500/天
在线文科老师,学狮辅导 - 教育/培训,≥1天,300-500/天
在线一对一老师,学狮辅导 - 教育/培训,≥1天,300-500/天
远程教育辅导老师,学狮辅导 - 教育/培训,≥1天,300-600/天
人事/HR,日产中国 - 汽车,≥3天,100-100/天
房产销售,链家 - 房地产,≥6天,20-25/天
销售支持,链家 - 房地产,≥6天,500-800/天
销售,链家 - 房地产,≥6天,15-18/天
1对1辅导老师,学狮辅导 - 教育/培训,≥1天,300-500/天
市场实习生,恒润科技 - 通信/电子,≥3天,面议
助理交易员,北京东方睿石投资管理...,≥4天,面议
平台车主策略运营实习...,滴滴出行 - 互联网,≥4天,面议
深度学习算法实习生,陌陌 - 互联网,≥4天,面议
运营风控实习生,中海外钜融资产管理集...,≥4天,面议
工商管理实习生,北京沐羽科技有限公司,≥4天,面议
实习生,北京工业发展咨询有限...,≥4天,面议
数据分析实习生,京东 - 互联网,≥4天,面议
HR实习生,ofo,≥4天,面议
Deep Learn...,英特尔 - 互联网,≥4天,面议
数据仓库实习工程师,美团 - 互联网,≥4天,面议
人力资源实习生,玖富集团 - 互联网,≥4天,面议
研发实习生,滴滴出行 - 互联网,≥5天,面议
实习生,世邦魏理仕集团公司,≥4天,面议
实习生,GeneDock,≥4天,面议
金融工程实习生,川谷金融科技,≥4天,面议
技术文档写作实习生,GE医疗集团,≥4天,面议
人力资源岗位实习生,联通系统集成有限公司 - 通信/电子,≥4天,面议
远程教育在线老师,学狮辅导 - 教育/培训,≥1天,300-500/天
小学各科辅导老师,学狮辅导 - 教育/培训,≥1天,300-500/天
网站编辑实习生,艾瑞集团 - 专业服务/咨询,≥4天,100-100/天
研究助理实习生,艾瑞集团 - 专业服务/咨询,≥4天,100-100/天
研究部日常实习生,中航基金,≥4天,面议
人力资源管理实习生,中核能源科技有限公司,≥4天,面议
流策略产品实习生,百度 - 互联网,≥4天,面议
投资分析管培实习生,中科实业集团（控股）...,≥4天,面议
金融管理部管培实习生,中科实业集团（控股）...,≥4天,面议
数据分析实习生,滴滴出行 - 互联网,≥4天,面议
产品实习生,搜狗 - 互联网,≥4天,面议
HR培训实习生,阳光城集团,≥4天,面议
深度学习算法实习生,三星电子 - 通信/电子,≥4天,面议
新媒体广告销售,省钱快报 - 互联网,≥5天,120-150/天
市场实习生,北京唯幻科技有限公司,≥4天,面议
互联网创新部门实习生,阳光保险 - 保险,≥4天,面议
投资分析实习生,北京双湖投资管理有限...,≥4天,面议
金融投资实习生,九合金控投资股份有限...,≥4天,面议
法务实习生,泡泡玛特 - 零售/贸易,≥3天,100-150/天
管理培训生/储备店长,北京热风 - 零售/贸易,≥6天,150-200/天
行政实习生,智慧足迹 - 互联网,≥4天,100-110/天
1对1各科辅导老师,学狮辅导 - 教育/培训,≥1天,300-500/天
实习家教（英语）,学狮辅导 - 教育/培训,≥1天,300-500/天
法务实习生,创业黑马 - 互联网,≥4天,80-100/天
市场助理实习生,创业黑马 - 互联网,≥4天,80-100/天
产品实习生,小米 - 互联网,≥4天,面议
数据分析实习生,百度 - 互联网,≥4天,面议
债券融资部实习生,华融证券,≥4天,面议
大数据平台工程师,北京大数据研究院,≥4天,面议
模拟器开发工程师,中国科学院自动化研究...,≥4天,面议
集成电路数字前端工程...,中国科学院自动化研究...,≥4天,面议
算法工程师,中科院自动化研究所,≥4天,面议
嵌入式软件开发工程师,中科院自动化研究所 - 互联网,≥4天,面议
人力资源实习生,七鑫易维,≥4天,面议
数据分析实习生,东兴证券,≥4天,面议
财务实习生,正略集团 - 专业服务/咨询,≥4天,面议
股票投研实习生,中金公司 - 基金/证券,≥4天,面议
HR实习生,搜狐视频 - 互联网,≥4天,面议
运营实习生,复思资本,≥4天,面议
投资银行部实习生,中金公司 - 基金/证券,≥4天,面议
前端开发实习生,滴滴出行 - 互联网,≥4天,面议
供应链部门实习生,灵动科技 - 互联网,≥3天,100-150/天
客服运营专员,轻课 - 互联网,≥3天,2-3/天
环保公用事业组实习生,华创证券 - 投资/期货,≥4天,面议
软件测试实习生,小米 - 互联网,≥4天,面议
平面设计实习生,小米 - 互联网,≥4天,面议
软件测试实习生,小米 - 互联网,≥4天,面议
平面设计实习生,小米 - 互联网,≥4天,面议
行研实习生,华创证券 - 投资/期货,≥4天,面议
英语实习生,墨场教育 - 教育/培训,≥3天,100-150/天
会计实习生,昌荣传播 Charm - 广告,≥4天,95-115/天
媒体购买执行,昌荣传播 Charm - 广告,≥4天,95-115/天
媒介策划实习生,昌荣传播 Charm - 广告,≥4天,95-115/天
人力资源实习生,昌荣传播 Charm - 广告,≥4天,95-115/天
计算机视觉/图像/视...,中国科学院自动化研究... - 政府/公共事业,≥5天,200-250/天
初中辅导各科老师,学狮辅导 - 教育/培训,≥1天,300-500/天
小学各科辅导老师,学狮辅导 - 教育/培训,≥1天,300-500/天
财务部实习生,CDP - 专业服务/咨询,≥4天,150-200/天
物联网安全分析Pyt...,中科院信工所 - 互联网,≥5天,150-200/天
销售助理实习生,天极传媒 - 互联网,≥5天,100-120/天
项目助理实习生,开智学堂 - 互联网,≥4天,100-150/天
研究所固定收益组实习...,东北证券 - 基金/证券,≥4天,面议
动漫频道设计实习生,小米 - 互联网,≥5天,面议
电力设备新能源团队招...,方正证券 - 基金/证券,≥4天,面议
TMT实习行业研究员,远策投资管理有限公司,≥4天,面议
财务部实习生,国新国际有限公司,≥4天,面议
计算机视觉实习生,中科院自动化所,≥4天,面议
信托业务部门实习生,中信信托,≥4天,面议
战略投资部实习生,方正国际,≥4天,面议
物联网安全研究实习生,启明星辰公司,≥4天,面议
系统支持实习生,京东 - 互联网,≥5天,面议
债券发行岗实习生,国信证券 - 基金/证券,≥4天,面议
投资部实习生,中非产能合作基金,≥4天,面议
投资分析实习生,招商局集团有限公司,≥4天,面议
新媒体文案运营实习生,滴滴出行 - 互联网,≥4天,面议
算法,滴滴出行 - 互联网,≥4天,面议
网络开发实习生,英特尔 - 互联网,≥4天,面议
智能问答系统开发实习...,腾讯 - 互联网,≥4天,面议
管培生/管理培训生,上海思芮 - 互联网,≥5天,100-120/天
推广：校园代理,辅导君 - 教育/培训,≥2天,100-150/天
1对1在线小学作业辅...,学狮辅导 - 教育/培训,≥1天,300-500/天
专员,律览公关 - 公关/会展,≥3天,150-250/天
在线辅导老师,学狮辅导 - 教育/培训,≥2天,300-500/天
大学生家教,辅导君 - 教育/培训,≥2天,100-150/天
JAVA开发岗（网管...,中国电信电渠中心 - 通信/电子,≥4天,面议
数据库管理平台前后台...,IBM - 互联网,≥4天,面议
POI数据中心研发工...,百度地图,≥4天,面议
算法/机器学习工程师,微软,≥4天,面议
市场管理培训生,北京轻松筹技术有限公...,≥4天,面议
信息安全实习生,北京轻松筹技术有限公...,≥4天,面议
H5实习生,北京轻松筹技术有限公...,≥4天,面议
数据开发实习生,北京轻松筹技术有限公...,≥4天,面议
数据分析实习生,北京轻松筹技术有限公...,≥4天,面议
golang实习生,北京轻松筹技术有限公...,≥4天,面议
Android实习生,北京轻松筹技术有限公...,≥4天,面议
ios实习生,北京轻松筹技术有限公...,≥4天,面议
测试实习生,北京轻松筹技术有限公...,≥3天,面议
JAVA实习生,北京轻松筹技术有限公...,≥4天,面议
PHP实习生,北京轻松筹技术有限公...,≥4天,面议
财务实习生,北京轻松筹技术有限公...,≥4天,面议
人事/HR实习生,北京轻松筹技术有限公...,≥3天,面议
产品实习生,北京轻松筹技术有限公...,≥4天,面议
人工审核实习生,北京轻松筹技术有限公...,≥4天,面议
用户运营实习生,北京轻松筹技术有限公...,≥4天,面议
内容运营实习生,北京轻松筹技术有限公... - 互联网,≥4天,面议
内容运营实习生,搜狐 - 互联网,≥4天,200-200/天
程序员|数据算法实习...,北京智速科技有限公司,≥4天,面议
网站编辑,我爱卡 - 互联网,≥5天,100-137/天
商务,我爱卡 - 互联网,≥5天,100-137/天
人力资源实习生,滴滴出行 - 互联网,≥4天,150-200/天
法务实习生,商汤科技 - 公众服务,≥4天,150-200/天
AI实习生,来也,≥4天,200-400/天
语音识别算法实习生,地平线科技公司,≥3天,190-300/天
人力资源实习生,中诚信国际信用评级有...,≥4天,100-150/天
软件工程师,南京道熵信息技术有限...,≥4天,面议
计算机视觉算法工程师,微软 - 互联网,≥3天,面议
HR实习生,腾讯 - 互联网,≥3天,100-120/天
车企编导,律览公关 - 公关/会展,≥3天,150-250/天
地推（运营推广）,雅森科技 - 生物/医药,≥5天,200-300/天
商务助理,律览公关 - 公关/会展,≥3天,150-250/天
公关助理,律览公关 - 公关/会展,≥5天,150-250/天
幼儿英语教研,对啊网 - 教育/培训,≥4天,100-150/天
新媒体运营实习生,IBM - 互联网,≥4天,面议
临床医学实习生,IBM - 互联网,≥3天,面议
管理咨询战略实习生,IBM - 互联网,≥4天,面议
软件测试工程师（实习...,IBM - 互联网,≥3天,面议
投资经理助理,建信信托,≥3天,面议
图像算法实习生岗位,海尔新媒体 - 机械/制造,≥3天,面议
数据类实习生,海尔新媒体 - 机械/制造,≥3天,面议
行政实习生,德勤咨询 - 专业服务/咨询,≥3天,面议
Java/Javas...,IBM - 互联网,≥3天,面议
运营实习生,龙湖地产 - 房地产,≥4天,面议
客座实习生,中科曙光 - 通信/电子,≥3天,面议
审计稽核部实习生,中船财务有限责任公司,≥4天,面议
软件测试实习生,厦门乐域网络科技有限...,≥4天,面议
内容专员实习生,爱思唯尔国际出版,≥3天,180-180/天
人力实习生,Kika北京新美互通...,≥4天,面议
内容生产实习生,中国发展研究基金会,≥4天,面议
HR BP实习生,人人公司,≥3天,120-120/天
战略规划实习生,新华三技术有限公司,≥3天,面议
深度学习|图像处理|...,英特尔中国 - 互联网,≥3天,面议
产品运营实习生,腾讯 - 互联网,≥5天,面议
企业宣传、综合岗实习...,中化石油勘探开发有限...,≥3天,面议
医生用户调研专员（兼...,雅森科技 - 生物/医药,≥5天,200-300/天
微信运营实习生,互动百科 - 互联网,≥4天,100-150/天
产品运营实习生,互动百科 - 互联网,≥4天,100-150/天
财务助理,神州在线 - 互联网,≥5天,100-200/天
嵌入式,UISEE - 汽车,≥4天,180-260/天
法学教材类兼职讲师,圣才电子书 - 教育/培训,≥1天,500-1000/天
医学考试类兼职讲师,圣才电子书 - 教育/培训,≥1天,500-1000/天
【统计类教材】兼职讲...,圣才电子书 - 教育/培训,≥1天,500-1000/天
兼职讲师【财会类】,圣才电子书 - 教育/培训,≥1天,500-1000/天
兼职讲师【金融、证券...,圣才电子书 - 教育/培训,≥1天,500-1000/天
兼职讲师【心理类】,圣才电子书 - 教育/培训,≥1天,500-1000/天
外勤会计助理/实习生,华财会计在线 - 财务/会计/审计,≥5天,90-100/天
人力资源实习生,中智国际人才 - 专业服务/咨询,≥3天,100-120/天
新媒体运营推广实习生,马克笔设计留学 - 教育/培训,≥4天,80-120/天
英语翻译,马克笔设计留学 - 教育/培训,≥5天,100-150/天
行政实习生,互动百科 - 互联网,≥4天,100-150/天
销售管培生/实习生,链家 - 房地产,≥5天,180-360/天
销售代表/房产销售专...,链家 - 房地产,≥6天,199-388/天
【链家总部】销售代表...,链家 - 房地产,≥6天,180-360/天
销售实习生/可转岗,链家 - 房地产,≥5天,180-360/天
销售BD/销售储备经...,链家 - 房地产,≥5天,199-388/天
销售实习生,链家 - 房地产,≥6天,188-366/天
房产经纪人/销售储备...,链家 - 房地产,≥6天,180-360/天
销售运营实习生,链家 - 房地产,≥5天,190-380/天
房产经纪人/房产储备...,链家 - 房地产,≥5天,200-400/天
链家销售管培生,链家 - 房地产,≥5天,180-360/天
经济师讲师,万题库 - 教育/培训,≥5天,8-15/天
交付助理,上海思芮 - 互联网,≥4天,100-200/天
在线远程 小初高语数...,海风教育 - 教育/培训,≥1天,300-550/天
.Net开发实习生（...,北森 - 互联网,≥5天,150-260/天
软件项目实习生（19...,北森 - 互联网,≥5天,120-160/天
金融/经济研究员,人人金服,≥3天,面议
JAVA开发工程师,中国电信电渠中心 - 通信/电子,≥4天,80-115/天
产品运营实习生,多禾聚元 - 互联网,≥5天,150-200/天
前端实习生,百度 - 互联网,≥4天,面议
界面设计实习生,联想(北京)有限公司 - 通信/电子,≥4天,面议
后端开发实习生,北京市商汤科技开发有...,≥4天,面议
研究部实习生,大唐财富投资管理有限...,≥4天,面议
人事/HR,百度 - 互联网,≥4天,面议
部门助理实习生,小米 - 互联网,≥4天,面议
人力资源实习生,人人 - 互联网,≥4天,100-120/天
猎头实习生,泰伦曙光 - 专业服务/咨询,≥4天,120-140/天
金融产品助理实习生,新证金融 - 基金/证券,≥3天,100-200/天
Java岗位实习生,新证金融 - 基金/证券,≥3天,100-200/天
测试岗位实习生,新证金融 - 基金/证券,≥3天,100-200/天
前端岗位实习生,新证金融 - 基金/证券,≥3天,100-200/天
市场部实习生,新证金融 - 基金/证券,≥3天,100-200/天
医学信息沟通实习生,赛诺菲 - 医疗/卫生,≥3天,200-230/天
法务实习生,人人 - 互联网,≥4天,100-120/天
新媒体运营实习生,人人 - 互联网,≥4天,100-150/天
行政文员工作轻松底薪...,九尾科技 - 互联网,≥5天,150-200/天
人事助理,北京康诚世纪投资有限... - 其他行业,≥5天,110-200/天
金融产品业务专员,北京康诚世纪投资有限... - 其他行业,≥5天,100-200/天
英语素材编辑,轻课 - 互联网,≥2天,140-150/天
英语内容编辑,轻课 - 互联网,≥3天,140-180/天
前端开发实习生,湛腾科技 - 互联网,≥5天,130-150/天
推广,链家 - 房地产,≥6天,400-500/天
房产销售,链家 - 房地产,≥6天,400-500/天
销售支持,链家 - 房地产,≥6天,400-500/天
房产销售,链家 - 房地产,≥6天,400-500/天
销售支持,链家 - 房地产,≥6天,400-500/天
销售,链家 - 房地产,≥6天,400-500/天
销售支持,链家 - 房地产,≥6天,400-500/天
推广,链家 - 房地产,≥6天,500-600/天
房产销售,链家 - 房地产,≥6天,500-600/天
销售,链家 - 房地产,≥6天,400-500/天
推广,链家 - 房地产,≥6天,300-400/天
部门助理实习生（hr...,今日头条 - 互联网,≥4天,100-150/天
推广,链家 - 房地产,≥6天,400-500/天
销售,链家 - 房地产,≥6天,400-500/天
业务,链家 - 房地产,≥6天,300-400/天
房产销售,链家 - 房地产,≥6天,300-400/天
商务,链家 - 房地产,≥6天,500-600/天
地产开发,链家 - 房地产,≥6天,500-600/天
房产销售,链家 - 房地产,≥6天,300-400/天
人力资源,链家 - 房地产,≥6天,500-600/天
光电,链家 - 房地产,≥6天,500-600/天
推广,链家 - 房地产,≥6天,500-550/天
内容运营,链家 - 房地产,≥6天,300-400/天
运维工程师,中经云 - 互联网,≥5天,130-150/天
视频审核编辑实习生,今日头条 - 互联网,≥4天,100-150/天
内容运营,今日头条 - 互联网,≥4天,100-150/天
新媒体编辑实习生,北京好头发网络科技有... - 医疗/卫生,≥5天,120-150/天
招聘销售管培生,北京链家-亚奥金茂悦... - 房地产,≥6天,100-150/天
UI/UE设计,湛腾科技 - 互联网,≥4天,140-200/天
测试实习生,湛腾科技 - 互联网,≥4天,140-200/天
Android实习生,湛腾科技 - 互联网,≥4天,140-200/天
IOS实习生,湛腾科技 - 互联网,≥4天,140-200/天
房产销售,链家 - 房地产,≥6天,300-350/天
销售支持,链家 - 房地产,≥6天,300-350/天
销售,链家 - 房地产,≥6天,300-355/天
商品审核支持,京东到家 - 互联网,≥5天,120-150/天
产品数据岗,京东到家 - 互联网,≥5天,120-150/天
律所实习生,万慧达律师事务所 - 专业服务/咨询,≥5天,100-150/天
销售助理,北京科卓 - 互联网,≥5天,150-300/天
韩国区块链社群运营（...,布洛克财经 - 互联网,≥5天,200-400/天
实习生――行政,麦可思数据 - 教育/培训,≥4天,80-100/天
项目助理,上海思芮 - 互联网,≥5天,100-200/天
大客户助理,上海思芮 - 互联网,≥5天,100-200/天
医学信息专员/医药代...,瀚晖制药有限公司 - 生物/医药,≥3天,120-120/天
出纳,麦可思数据 - 教育/培训,≥5天,100-150/天
猎头顾问实习生（可转...,CGP Beijin... - 专业服务/咨询,≥4天,100-150/天
编辑记者,名志时代 - 影视传媒,≥5天,70-100/天
新媒体运营实习生,名志时代 - 影视传媒,≥5天,80-100/天
采编实习生、新媒体运...,名志时代 - 影视传媒,≥5天,80-100/天
后期制作,名志时代 - 影视传媒,≥5天,80-100/天
HR实习生（招聘方向...,神舟传媒 - 影视传媒,≥3天,80-100/天
用户运营,轻课 - 互联网,≥3天,120-150/天
平面设计,蕊希工作室 - 文化/娱乐,≥5天,100-130/天
猎头顾问,埃摩森猎头机构 - 专业服务/咨询,≥5天,100-200/天
顾问,埃摩森猎头机构 - 专业服务/咨询,≥2天,150-200/天
新媒体运营实习生,橘子娱乐 - 互联网,≥4天,100-120/天
新东方校园经理人,新东方 - 教育/培训,≥7天,150-300/天
新东方托福校园行活动...,新东方 - 教育/培训,≥7天,100-200/天
AE客户执行,UMG联播传媒 - 影视传媒,≥5天,100-100/天
房产销售,链家 - 房地产,≥6天,300-600/天
市场,链家 - 房地产,≥6天,400-800/天
销售支持,链家 - 房地产,≥6天,400-800/天
商务,链家 - 房地产,≥6天,300-600/天
网络销售专员,万门大学 - 互联网,≥5天,150-200/天
课程运营,万门大学 - 互联网,≥5天,120-150/天
销售,万门大学 - 互联网,≥5天,120-150/天
招聘经理实习生,尚德机构 - 教育/培训,≥4天,120-200/天
数据挖掘,浪潮电子信息产业股份... - 通信/电子,≥4天,100-120/天
云计算/大数据,浪潮电子信息产业股份... - 通信/电子,≥4天,100-120/天
算法,浪潮电子信息产业股份... - 通信/电子,≥3天,100-120/天
销售助理实习生,东方风行文化传媒 - 影视传媒,≥4天,60-70/天
用户运营,轻课 - 互联网,≥3天,120-150/天
人民视频-视频服务组...,人民网 - 公众服务,≥4天,40-80/天
人民视频-拍客组实习...,人民网 - 公众服务,≥4天,40-80/天
人民视频-视频后期、...,人民网 - 公众服务,≥4天,40-80/天
人民电视摄像师、音频...,人民网 - 公众服务,≥4天,40-80/天
顾问助理／ 人力资源...,泛优咨询 - 互联网,≥3天,110-120/天
人民视频-日常新闻、...,人民网 - 公众服务,≥4天,120-150/天
销售,合付宝 - 互联网,≥5天,175-350/天
科普教育活动实习生,神舟传媒 - 影视传媒,≥2天,80-150/天
行政前台,起风财经 - 互联网,≥5天,120-160/天
编辑,起风财经 - 互联网,≥3天,120-160/天
新媒体,起风财经 - 互联网,≥3天,120-160/天
用户运营,起风财经 - 互联网,≥5天,120-160/天
实习老师（科学）,昂立嗨课堂 - 教育/培训,≥1天,300-500/天
前期编导,东方风行文化传媒 - 影视传媒,≥4天,60-70/天
Test Autom...,宝马中国 - 汽车,≥4天,149-150/天
2D/3D,北京科技孵化器 - 互联网,≥5天,150-300/天
美术设计,北京科技孵化器 - 互联网,≥5天,150-300/天
影视特效设计急聘,北京科技孵化器 - 互联网,≥5天,100-200/天
游戏场景模型师,北京科技孵化器 - 互联网,≥5天,150-300/天
后期剪辑实习招聘/可...,北京科技孵化器 - 互联网,≥5天,150-300/天
计算机实习生可以培养,北京科技孵化器 - 互联网,≥5天,100-200/天
计算机技术高薪急聘,北京科技孵化器 - 互联网,≥5天,100-200/天
急聘计算机实习生,北京科技孵化器 - 互联网,≥5天,100-200/天
HRBP实习生,新浪微博 - 互联网,≥4天,80-100/天
会计助理（实习生）,华财会计在线 - 财务/会计/审计,≥5天,90-100/天
头条问答运营实习生,今日头条 - 互联网,≥4天,100-150/天
头条账号评估实习生,今日头条 - 互联网,≥4天,100-150/天
国际化视频审核编辑实...,今日头条 - 互联网,≥4天,140-150/天
模型标注编辑实习生,今日头条 - 互联网,≥4天,100-150/天
优质内容维护实习生,今日头条 - 互联网,≥4天,100-150/天
社区产品质量分析实习...,今日头条 - 互联网,≥4天,100-150/天
搜索产品运营实习生（...,今日头条 - 互联网,≥3天,100-150/天
其他语种产品评估实习...,今日头条 - 互联网,≥4天,140-150/天
国际化内容推荐优化实...,今日头条 - 互联网,≥4天,140-150/天
小语种产品评估实习生,今日头条 - 互联网,≥4天,140-150/天
直播审核编辑实习生,今日头条 - 互联网,≥4天,100-150/天
短视频审核编辑实习生,今日头条 - 互联网,≥4天,100-150/天
时政内容审核编辑,今日头条 - 互联网,≥4天,100-150/天
软件测试实习生,亚信科技 - 互联网,≥4天,118-146/天
运维开发实习生,亚信科技 - 互联网,≥4天,118-146/天
产品运营,货圈全 - 互联网,≥5天,100-120/天
HR 实习生,亚马逊 - 互联网,≥4天,120-150/天
团队年轻晋升透明-应...,链家 - 房地产,≥6天,300-600/天
链家房产销售-团队年...,链家 - 房地产,≥6天,133-266/天
【北京链家】房产销售...,链家 - 房地产,≥6天,133-266/天
链家房产销售-团队年...,链家 - 房地产,≥6天,133-266/天
【lianjia.l...,链家 - 房地产,≥6天,133-260/天
【北京链家】房产销售...,链家 - 房地产,≥6天,133-260/天
TAP特邀买家专员,励展博览集团 - 专业服务/咨询,≥4天,120-121/天
推广,励展博览集团 - 专业服务/咨询,≥4天,120-120/天
市场,励展博览集团 - 专业服务/咨询,≥4天,120-150/天
人力资源实习生,猎聘网 - 互联网,≥5天,110-120/天
